categoria,n_total,n_meses_cobertos,prevalencia_primeiro_mes,prevalencia_ultimo_mes,mk_tau,mk_p,mk_efeito,zp_estatistica,zp_p,zp_efeito,qui_estatistica,qui_p,qui_efeito
serafina,334,32,0.001335509719542959,0.004056795131845842,0.2840909090909091,0.02011051554673871,"{""n"": 33, ""primeiro"": 0.001335509719542959, ""ultimo"": 0.004056795131845842, ""delta"": 0.0027212854123028827}",-4.097384209778237,4.178450592151606e-05,"{""p1"": 0.001457365193719581, ""p2"": 0.002603861907548274, ""diferenca"": -0.0011464967138286929, ""risco_relativo"": 0.5596937339475874, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",19.90045872025314,4.7716688375926846e-05,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.001457365193719581, 0.002311312126906001, 0.002603861907548274], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
o-melhor-de-sao-paulo,189,4,0.0,0.0,0.3861261360564083,0.007060823495610384,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.0, ""delta"": 0.0}",-20.072331292749517,0.0,"{""p1"": 0.0, ""p2"": 0.005529549444119368, ""diferenca"": -0.005529549444119368, ""risco_relativo"": 0.0, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",735.5600193199806,1.884391993603253e-160,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0, 0.0, 0.005529549444119368], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
vice,146,11,0.00044516990651431964,0.0,-0.5681818181818181,3.010994657411327e-05,"{""n"": 33, ""primeiro"": 0.00044516990651431964, ""ultimo"": 0.0, ""delta"": -0.00044516990651431964}",8.288777013968357,2.220446049250313e-16,"{""p1"": 0.002007314323425083, ""p2"": 0.0, ""diferenca"": 0.002007314323425083, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",189.4934920806278,7.112315546700043e-42,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.002007314323425083, 0.0, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
guia-de-livros-discos-filmes,143,7,0.0,0.0,-0.15577766718714145,0.266542088124994,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.0, ""delta"": 0.0}",6.095247579279801,1.092681944925289e-09,"{""p1"": 0.001086149531168367, ""p2"": 0.0, ""diferenca"": 0.001086149531168367, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",36.8351075574306,1.0031318592927145e-08,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.001086149531168367, 0.0010642012670646335, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
topofmind,86,6,0.0,0.0,0.08177798666446455,0.5625894766549737,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.0, ""delta"": 0.0}",4.226552664807781,2.3729875243683196e-05,"{""p1"": 0.0005224516732202271, ""p2"": 0.0, ""diferenca"": 0.0005224516732202271, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",26.996910393661164,1.3730785850084684e-06,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0005224516732202271, 0.0007981509502984752, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
banco-de-dados,64,10,0.0,0.008620689655172414,0.6219636990815514,5.7725571426485225e-06,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.008620689655172414, ""delta"": 0.008620689655172414}",-11.396501541391967,0.0,"{""p1"": 0.0, ""p2"": 0.0017846693973083674, ""diferenca"": -0.0017846693973083674, ""risco_relativo"": 0.0, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",220.634481139882,1.2297905788284625e-48,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0, 4.98844343936547e-05, 0.0017846693973083674], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
dw,48,13,0.0011871197507048524,0.0,-0.610723166782074,5.365844967016329e-06,"{""n"": 33, ""primeiro"": 0.0011871197507048524, ""ultimo"": 0.0, ""delta"": -0.0011871197507048524}",4.650393009785084,3.3130308221274163e-06,"{""p1"": 0.0006324414991613276, ""p2"": 0.0, ""diferenca"": 0.0006324414991613276, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",53.49596735030222,2.418233804301057e-12,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0006324414991613276, 3.32562895957698e-05, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
cenarios-2017,43,1,0.0,0.0,0.10770505460691612,0.4622499461255427,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.0, ""delta"": 0.0}",0.0,1.0,"{""p1"": 0.0, ""p2"": 0.0, ""diferenca"": 0.0, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",76.46428549801188,2.4888078777900648e-17,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0, 0.0007150102263090507, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
especial,43,2,0.0,0.0,0.32349291668855307,0.026136821374871708,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.0, ""delta"": 0.0}",-9.567628134940128,0.0,"{""p1"": 0.0, ""p2"": 0.0012580456407255704, ""diferenca"": -0.0012580456407255704, ""risco_relativo"": 0.0, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",167.20333711740474,4.923304158741612e-37,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0, 0.0, 0.0012580456407255704], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
infograficos,43,11,0.0007419498441905327,0.0,-0.6590909090909092,1.2967294954825675e-06,"{""n"": 33, ""primeiro"": 0.0007419498441905327, ""ultimo"": 0.0, ""delta"": -0.0007419498441905327}",4.496130140680474,6.920139038246731e-06,"{""p1"": 0.0005911953144334149, ""p2"": 0.0, ""diferenca"": 0.0005911953144334149, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",55.775307612461816,7.736523315866321e-13,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.0005911953144334149, 0.0, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
rfi,29,11,0.0008903398130286393,0.0,-0.553030303030303,4.878704867804007e-05,"{""n"": 33, ""primeiro"": 0.0008903398130286393, ""ultimo"": 0.0, ""delta"": -0.0008903398130286393}",3.562493005444599,0.00036734969890406255,"{""p1"": 0.000371215662551214, ""p2"": 0.0, ""diferenca"": 0.000371215662551214, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",29.12415098439783,4.7399195299515414e-07,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.000371215662551214, 3.32562895957698e-05, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
guia-de-livros-filmes-discos,28,2,0.0,0.0,-0.18093671611393647,0.21348894671773277,"{""n"": 33, ""primeiro"": 0.0, ""ultimo"": 0.0, ""delta"": 0.0}",3.6278822729496634,0.0002857554978594745,"{""p1"": 0.00038496439079385155, ""p2"": 0.0, ""diferenca"": 0.00038496439079385155, ""risco_relativo"": NaN, ""n1"": 72734, ""n2"": 34180, ""ano_1"": 2015, ""ano_2"": 2017}",36.3155432771174,1.3007084861926391e-08,"{""graus_liberdade"": 2, ""prevalencias_observadas"": [0.00038496439079385155, 0.0, 0.0], ""k"": 3, ""n_total"": 167053, ""anos"": [2015, 2016, 2017]}"
