dia_semana,nome,total,positivos,prevalencia,ic_inf,ic_sup
0,seg,23851,3479,0.14586390507735525,0.14144140302332844,0.15040046357798767
1,ter,24488,3332,0.13606664488729173,0.1318294332705769,0.140418019826474
2,qua,24542,3379,0.13768234047754868,0.1334281286896869,0.1420499587152485
3,qui,25375,3312,0.13052216748768472,0.1264331068221828,0.1347230799003247
4,sex,24098,3361,0.13947215536559052,0.13515553834672261,0.14390369745117942
5,sáb,20396,1934,0.09482251421847421,0.09087779930630896,0.09891982567212182
6,dom,24303,2173,0.0894128296918076,0.0858900236452491,0.09306541432022884
