categoria_vs,jaccard_top30,tokens_compartilhados,tokens_exclusivos_referencia,n_tokens_extraidos,n_textos_categoria,n_total_categoria
infograficos,0.01694915254237288,sobre,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;taxa,30,40,43
folhinha,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,875,876
comida,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,828,828
especial,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,43,43
guia-de-livros-filmes-discos,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,28,28
treinamentocienciaesaude,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,18,18
mulher,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,16,16
euronews,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,8,8
ombudsman,0.0,,afirmou;ainda;alta;ano;ações;banco;bilhões;brasil;disse;dólar;economia;empresa;empresas;feira;governo;inflação;juros;maior;mercado;milhões;nesta;país;petrobras;presidente;preços;queda;segundo;setor;sobre;taxa,30,3,3
contas-de-casa,,,,0,0,2
bichos,,,,0,1,1
2015,,,,0,0,1
2016,,,,0,0,1
musica,,,,0,0,1
